
result 1
0: 4 5 4 4 3 | waste: 0/20
1: 7 3 7 5 | waste: 0/22
2: 7 6 | waste: 0/13
3: 7 8 | waste: 0/15
4: 6 4 9 6 | waste: 0/25
5: 10 | waste: 0/10
6: 3 7 | waste: 0/10
7: 7 5 4 4 | waste: 0/20
8: 7 10 5 | waste: 0/22
9: 6 7 | waste: 0/13
10: 7 4 7 4 | waste: 0/22
11: 10 8 7 | waste: 0/25
12: 5 7 10 | waste: 0/22
13: 7 3 | waste: 0/10
14: 7 8 | waste: 0/15
15: 10 | waste: 0/10
16: 6 7 | waste: 0/13
17: 8 4 8 | waste: 0/20
18: 4 3 3 | waste: 0/10
19: 4 9 | waste: 0/13
20: 10 | waste: 0/10
21: 4 9 9 | waste: 0/22
22: 5 8 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 56

result 2
0: 7 9 4 | waste: 0/20
1: 7 8 | waste: 0/15
2: 3 3 7 7 | waste: 0/20
3: 5 5 4 4 4 | waste: 0/22
4: 8 7 5 | waste: 0/20
5: 8 8 9 | waste: 0/25
6: 4 9 4 5 | waste: 0/22
7: 10 | waste: 0/10
8: 7 3 3 | waste: 0/13
9: 8 5 7 | waste: 0/20
10: 6 7 | waste: 0/13
11: 10 | waste: 0/10
12: 10 3 | waste: 0/13
13: 7 6 | waste: 0/13
14: 8 7 | waste: 0/15
15: 6 10 4 | waste: 0/20
16: 7 3 | waste: 0/10
17: 9 4 | waste: 0/13
18: 7 6 | waste: 0/13
19: 5 4 4 7 | waste: 0/20
20: 7 10 4 4 | waste: 0/25
21: 10 | waste: 0/10
22: 7 6 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 89

result 3
0: 4 6 3 | waste: 0/13
1: 5 8 | waste: 0/13
2: 7 9 9 | waste: 0/25
3: 3 9 4 4 | waste: 0/20
4: 4 5 4 | waste: 0/13
5: 7 4 4 | waste: 0/15
6: 6 4 | waste: 0/10
7: 4 7 5 4 | waste: 0/20
8: 8 7 7 | waste: 0/22
9: 9 4 | waste: 0/13
10: 6 7 | waste: 0/13
11: 10 | waste: 0/10
12: 10 | waste: 0/10
13: 7 8 7 | waste: 0/22
14: 10 5 | waste: 0/15
15: 6 7 | waste: 0/13
16: 7 3 | waste: 0/10
17: 7 3 | waste: 0/10
18: 4 8 3 10 | waste: 0/25
19: 7 8 | waste: 0/15
20: 5 5 | waste: 0/10
21: 7 8 | waste: 0/15
22: 7 10 3 | waste: 0/20
23: 7 6 | waste: 0/13
24: 10 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 35

result 4
0: 8 7 | waste: 0/15
1: 4 7 7 4 | waste: 0/22
2: 4 9 7 | waste: 0/20
3: 7 6 | waste: 0/13
4: 7 4 4 4 3 | waste: 0/22
5: 4 3 6 | waste: 0/13
6: 7 8 | waste: 0/15
7: 8 3 4 | waste: 0/15
8: 9 4 7 | waste: 0/20
9: 10 | waste: 0/10
10: 7 4 6 5 | waste: 0/22
11: 9 4 | waste: 0/13
12: 3 7 5 7 3 | waste: 0/25
13: 7 8 7 3 | waste: 0/25
14: 9 6 5 | waste: 0/20
15: 10 | waste: 0/10
16: 10 | waste: 0/10
17: 10 | waste: 0/10
18: 5 5 | waste: 0/10
19: 6 4 | waste: 0/10
20: 7 10 8 | waste: 0/25
21: 10 5 | waste: 0/15
22: 8 7 | waste: 0/15
fitness: 1 total_wastage: 0 found at: 176

result 5
0: 7 8 7 | waste: 0/22
1: 9 4 | waste: 0/13
2: 8 8 4 | waste: 0/20
3: 7 7 8 | waste: 0/22
4: 7 4 6 8 | waste: 0/25
5: 10 | waste: 0/10
6: 10 | waste: 0/10
7: 4 8 6 4 | waste: 0/22
8: 3 7 | waste: 0/10
9: 10 | waste: 0/10
10: 7 3 | waste: 0/10
11: 5 7 7 3 | waste: 0/22
12: 4 4 5 | waste: 0/13
13: 7 6 5 4 | waste: 0/22
14: 5 5 9 3 | waste: 0/22
15: 4 7 4 7 3 | waste: 0/25
16: 6 9 7 | waste: 0/22
17: 10 | waste: 0/10
18: 4 9 | waste: 0/13
19: 10 | waste: 0/10
20: 6 4 | waste: 0/10
21: 5 10 7 | waste: 0/22
22: 7 3 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 72

result 6
0: 9 4 | waste: 0/13
1: 7 7 4 4 | waste: 0/22
2: 6 7 5 4 | waste: 0/22
3: 4 9 4 5 | waste: 0/22
4: 8 7 | waste: 0/15
5: 4 7 3 4 3 4 | waste: 0/25
6: 7 6 7 | waste: 0/20
7: 7 3 | waste: 0/10
8: 7 5 5 3 | waste: 0/20
9: 9 4 | waste: 0/13
10: 8 7 | waste: 0/15
11: 6 7 7 | waste: 0/20
12: 4 8 8 | waste: 0/20
13: 7 8 5 | waste: 0/20
14: 7 5 6 7 | waste: 0/25
15: 9 6 | waste: 0/15
16: 3 10 | waste: 0/13
17: 10 | waste: 0/10
18: 10 10 | waste: 0/20
19: 8 4 3 | waste: 0/15
20: 10 10 | waste: 0/20
fitness: 1 total_wastage: 0 found at: 103

result 7
0: 4 7 7 4 | waste: 0/22
1: 4 7 4 6 4 | waste: 0/25
2: 7 8 | waste: 0/15
3: 6 4 | waste: 0/10
4: 7 6 | waste: 0/13
5: 10 | waste: 0/10
6: 5 8 5 3 4 | waste: 0/25
7: 9 7 9 | waste: 0/25
8: 8 7 | waste: 0/15
9: 4 5 3 5 5 | waste: 0/22
10: 10 | waste: 0/10
11: 10 | waste: 0/10
12: 3 9 3 | waste: 0/15
13: 8 7 | waste: 0/15
14: 3 7 | waste: 0/10
15: 4 7 4 | waste: 0/15
16: 9 7 6 | waste: 0/22
17: 7 4 4 | waste: 0/15
18: 10 | waste: 0/10
19: 7 3 | waste: 0/10
20: 10 | waste: 0/10
21: 6 7 | waste: 0/13
22: 10 | waste: 0/10
23: 8 7 | waste: 0/15
24: 5 8 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 83

result 8
0: 4 4 5 5 4 | waste: 0/22
1: 4 6 | waste: 0/10
2: 9 4 | waste: 0/13
3: 8 7 | waste: 0/15
4: 9 4 7 | waste: 0/20
5: 10 | waste: 0/10
6: 7 5 3 | waste: 0/15
7: 8 5 | waste: 0/13
8: 8 7 | waste: 0/15
9: 7 3 | waste: 0/10
10: 8 7 | waste: 0/15
11: 5 5 6 4 | waste: 0/20
12: 7 8 | waste: 0/15
13: 7 6 | waste: 0/13
