
result 1
0: 4 7 4 | waste: 0/15
1: 7 4 4 | waste: 0/15
2: 10 5 | waste: 0/15
3: 8 7 | waste: 0/15
4: 4 4 7 | waste: 0/15
5: 7 8 | waste: 0/15
6: 9 6 | waste: 0/15
7: 7 8 | waste: 0/15
8: 10 3 | waste: 2/15
9: 6 9 | waste: 0/15
10: 10 5 | waste: 0/15
11: 8 7 | waste: 0/15
12: 10 4 | waste: 1/15
13: 10 5 | waste: 0/15
14: 10 5 | waste: 0/15
15: 6 3 3 3 | waste: 0/15
16: 10 4 | waste: 1/15
17: 9 6 | waste: 0/15
18: 6 | waste: 9/15
19: 9 6 | waste: 0/15
20: 9 6 | waste: 0/15
21: 10 5 | waste: 0/15
22: 8 7 | waste: 0/15
fitness: 0.923748 total_wastage: 13 found at: 115

result 2
0: 4 7 4 | waste: 0/15
1: 10 5 | waste: 0/15
2: 9 3 3 | waste: 0/15
3: 9 6 | waste: 0/15
4: 10 5 | waste: 0/15
5: 7 8 | waste: 0/15
6: 3 6 6 | waste: 0/15
7: 8 7 | waste: 0/15
8: 10 5 | waste: 0/15
9: 8 7 | waste: 0/15
10: 10 5 | waste: 0/15
11: 7 4 4 | waste: 0/15
12: 9 6 | waste: 0/15
13: 10 5 | waste: 0/15
14: 8 7 | waste: 0/15
15: 9 6 | waste: 0/15
16: 6 | waste: 9/15
17: 10 4 | waste: 1/15
18: 10 4 | waste: 1/15
19: 10 3 | waste: 2/15
20: 6 9 | waste: 0/15
21: 7 4 4 | waste: 0/15
22: 7 8 | waste: 0/15
fitness: 0.923748 total_wastage: 13 found at: 58

result 3
0: 6 | waste: 9/15
1: 7 4 4 | waste: 0/15
2: 9 3 3 | waste: 0/15
3: 4 10 | waste: 1/15
4: 8 7 | waste: 0/15
5: 10 3 | waste: 2/15
6: 4 4 7 | waste: 0/15
7: 10 5 | waste: 0/15
8: 9 6 | waste: 0/15
9: 7 8 | waste: 0/15
10: 9 6 | waste: 0/15
11: 8 7 | waste: 0/15
12: 7 4 4 | waste: 0/15
13: 10 5 | waste: 0/15
14: 10 5 | waste: 0/15
15: 8 7 | waste: 0/15
16: 10 5 | waste: 0/15
17: 10 5 | waste: 0/15
18: 7 8 | waste: 0/15
19: 6 6 3 | waste: 0/15
20: 9 6 | waste: 0/15
21: 6 9 | waste: 0/15
22: 10 4 | waste: 1/15
fitness: 0.923748 total_wastage: 13 found at: 178

result 4
0: 10 5 | waste: 0/15
1: 10 4 | waste: 1/15
2: 7 8 | waste: 0/15
3: 10 5 | waste: 0/15
4: 9 6 | waste: 0/15
5: 4 7 4 | waste: 0/15
6: 7 4 4 | waste: 0/15
7: 10 4 | waste: 1/15
8: 8 7 | waste: 0/15
9: 8 7 | waste: 0/15
10: 7 8 | waste: 0/15
11: 10 3 | waste: 2/15
12: 10 5 | waste: 0/15
13: 7 4 4 | waste: 0/15
