
result 1
0: 11 6 8 | waste: 0/25
1: 7 7 11 | waste: 0/25
2: 8 7 5 | waste: 0/20
3: 7 8 5 | waste: 0/20
4: 12 7 6 | waste: 0/25
5: 7 6 7 | waste: 0/20
6: 7 6 7 | waste: 0/20
7: 8 5 6 6 | waste: 0/25
8: 11 8 6 | waste: 0/25
9: 8 6 6 | waste: 0/20
10: 7 6 | waste: 0/13
11: 7 6 | waste: 0/13
12: 6 7 | waste: 0/13
13: 9 11 | waste: 0/20
14: 9 11 | waste: 0/20
15: 9 11 5 | waste: 0/25
16: 5 5 8 7 | waste: 0/25
17: 11 7 7 | waste: 0/25
18: 9 11 | waste: 0/20
19: 10 10 | waste: 0/20
20: 10 5 10 | waste: 0/25
21: 10 10 | waste: 0/20
fitness: 1 total_wastage: 0 found at: 1273

result 2
0: 6 7 7 | waste: 0/20
1: 7 11 7 | waste: 0/25
2: 12 8 5 | waste: 0/25
3: 9 11 | waste: 0/20
4: 6 11 8 | waste: 0/25
5: 8 5 | waste: 0/13
6: 8 6 11 | waste: 0/25
7: 7 6 7 | waste: 0/20
8: 6 7 | waste: 0/13
9: 8 5 | waste: 0/13
10: 8 5 | waste: 0/13
11: 10 5 10 | waste: 0/25
12: 6 7 | waste: 0/13
13: 7 6 | waste: 0/13
14: 9 6 5 | waste: 0/20
15: 9 6 10 | waste: 0/25
16: 10 6 9 | waste: 0/25
17: 7 6 | waste: 0/13
18: 7 6 | waste: 0/13
19: 7 11 7 | waste: 0/25
20: 5 8 | waste: 0/13
21: 10 10 | waste: 0/20
22: 11 11 | waste: 3/25
23: 7 11 7 | waste: 0/25
fitness: 0.984477 total_wastage: 3 found at: 146

result 3
0: 7 11 7 | waste: 0/25
1: 6 8 6 | waste: 0/20
2: 7 11 7 | waste: 0/25
3: 8 12 5 | waste: 0/25
4: 8 5 | waste: 0/13
5: 8 10 7 | waste: 0/25
6: 10 10 | waste: 0/20
7: 6 7 7 | waste: 0/20
8: 10 10 | waste: 0/20
9: 8 5 | waste: 0/13
10: 6 5 5 9 | waste: 0/25
11: 11 9 | waste: 0/20
12: 9 11 | waste: 0/20
13: 6 7 | waste: 0/13
14: 8 6 6 5 | waste: 0/25
15: 6 6 6 7 | waste: 0/25
16: 10 9 6 | waste: 0/25
17: 8 5 | waste: 0/13
18: 7 7 6 | waste: 0/20
19: 7 11 7 | waste: 0/25
20: 11 11 | waste: 3/25
21: 11 7 7 | waste: 0/25
fitness: 0.982962 total_wastage: 3 found at: 891

result 4
0: 8 6 11 | waste: 0/25
1: 6 11 8 | waste: 0/25
2: 8 10 7 | waste: 0/25
3: 12 7 6 | waste: 0/25
4: 6 7 7 | waste: 0/20
5: 9 11 | waste: 0/20
6: 7 11 7 | waste: 0/25
7: 5 7 5 8 | waste: 0/25
8: 7 6 | waste: 0/13
9: 5 8 | waste: 0/13
10: 8 11 6 | waste: 0/25
11: 6 8 6 | waste: 0/20
12: 11 5 9 | waste: 0/25
13: 10 10 | waste: 0/20
14: 11 9 | waste: 0/20
15: 11 9 | waste: 0/20
16: 10 10 5 | waste: 0/25
17: 10 5 5 | waste: 0/20
18: 7 7 6 | waste: 0/20
19: 6 7 | waste: 0/13
20: 7 7 6 | waste: 0/20
21: 7 7 6 | waste: 0/20
fitness: 1 total_wastage: 0 found at: 158

result 5
0: 6 5 9 5 | waste: 0/25
1: 5 8 6 6 | waste: 0/25
2: 9 5 11 | waste: 0/25
3: 8 5 | waste: 0/13
4: 11 8 6 | waste: 0/25
5: 11 8 6 | waste: 0/25
6: 7 11 7 | waste: 0/25
7: 8 10 7 | waste: 0/25
8: 9 10 6 | waste: 0/25
9: 12 8 | waste: 0/20
10: 7 7 6 | waste: 0/20
11: 6 7 7 5 | waste: 0/25
12: 10 10 | waste: 0/20
13: 11 5 9 | waste: 0/25
14: 7 6 | waste: 0/13
15: 6 11 8 | waste: 0/25
16: 7 7 6 | waste: 0/20
17: 7 7 11 | waste: 0/25
18: 6 7 | waste: 0/13
19: 11 7 7 | waste: 0/25
20: 10 10 | waste: 0/20
fitness: 1 total_wastage: 0 found at: 1246

result 6
0: 11 5 9 | waste: 0/25
1: 11 9 | waste: 0/20
2: 10 10 | waste: 0/20
3: 8 5 | waste: 0/13
4: 9 11 | waste: 0/20
5: 10 10 5 | waste: 0/25
6: 7 11 7 | waste: 0/25
7: 5 8 | waste: 0/13
8: 6 11 8 | waste: 0/25
9: 7 11 7 | waste: 0/25
10: 6 7 7 | waste: 0/20
11: 11 6 8 | waste: 0/25
12: 6 6 8 | waste: 0/20
13: 7 5 8 | waste: 0/20
14: 7 6 | waste: 0/13
15: 12 8 | waste: 0/20
16: 7 6 | waste: 0/13
17: 10 10 | waste: 0/20
18: 7 6 | waste: 0/13
19: 6 7 | waste: 0/13
