
result 1
0: 12 7 6 | waste: 0/25
1: 9 11 | waste: 0/20
2: 7 6 | waste: 0/13
3: 7 7 11 | waste: 0/25
4: 5 8 | waste: 0/13
5: 5 8 | waste: 0/13
6: 9 11 | waste: 0/20
7: 9 11 5 | waste: 0/25
8: 7 6 | waste: 0/13
9: 7 6 | waste: 0/13
10: 11 9 | waste: 0/20
11: 11 6 8 | waste: 0/25
12: 10 10 | waste: 0/20
13: 10 10 | waste: 0/20
14: 7 6 | waste: 0/13
15: 7 7 11 | waste: 0/25
16: 6 11 8 | waste: 0/25
17: 7 6 | waste: 0/13
18: 10 10 | waste: 0/20
19: 8 5 | waste: 0/13
20: 7 6 | waste: 0/13
21: 8 5 | waste: 0/13
22: 7 6 | waste: 0/13
23: 6 7 | waste: 0/13
24: 5 8 | waste: 0/13
25: 7 7 6 5 | waste: 0/25
fitness: 1 total_wastage: 0 found at: 195

result 2
0: 7 8 10 | waste: 0/25
1: 5 10 5 | waste: 0/20
2: 5 11 7 | waste: 2/25
3: 8 5 | waste: 0/13
4: 11 8 6 | waste: 0/25
5: 10 10 | waste: 0/20
6: 11 9 | waste: 0/20
7: 11 9 | waste: 0/20
8: 6 7 | waste: 0/13
9: 7 6 | waste: 0/13
10: 12 8 | waste: 0/20
11: 8 5 | waste: 0/13
12: 7 7 11 | waste: 0/25
13: 6 9 5 | waste: 0/20
14: 11 6 8 | waste: 0/25
15: 7 6 | waste: 0/13
16: 7 6 | waste: 0/13
17: 10 10 | waste: 0/20
18: 7 7 11 | waste: 0/25
19: 7 6 | waste: 0/13
20: 11 9 | waste: 0/20
21: 6 7 | waste: 0/13
22: 6 7 | waste: 0/13
23: 8 5 | waste: 0/13
24: 7 6 | waste: 0/13
25: 6 7 | waste: 0/13
fitness: 0.9881 total_wastage: 2 found at: 554

result 3
0: 7 6 | waste: 0/13
1: 8 12 | waste: 0/20
2: 10 10 | waste: 0/20
3: 7 7 11 | waste: 0/25
4: 9 11 | waste: 0/20
5: 9 11 | waste: 0/20
6: 5 8 | waste: 0/13
7: 10 10 | waste: 0/20
8: 11 7 7 | waste: 0/25
9: 10 8 7 | waste: 0/25
10: 6 8 11 | waste: 0/25
11: 9 11 | waste: 0/20
12: 7 6 | waste: 0/13
13: 11 9 5 | waste: 0/25
14: 8 5 | waste: 0/13
15: 11 8 6 | waste: 0/25
16: 5 8 7 | waste: 0/20
17: 7 6 | waste: 0/13
18: 7 6 | waste: 0/13
19: 7 7 5 6 | waste: 0/25
20: 10 5 5 | waste: 0/20
21: 6 7 | waste: 0/13
22: 7 6 6 6 | waste: 0/25
23: 6 7 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 217

result 4
0: 7 6 | waste: 0/13
1: 9 11 | waste: 0/20
2: 8 5 | waste: 0/13
3: 10 10 5 | waste: 0/25
4: 5 8 | waste: 0/13
5: 6 7 | waste: 0/13
6: 5 8 | waste: 0/13
7: 10 10 | waste: 0/20
8: 7 11 7 | waste: 0/25
9: 11 6 8 | waste: 0/25
10: 11 7 7 | waste: 0/25
11: 10 10 | waste: 0/20
12: 12 7 6 | waste: 0/25
13: 7 6 | waste: 0/13
14: 9 11 | waste: 0/20
15: 6 7 | waste: 0/13
16: 9 11 | waste: 0/20
17: 6 8 11 | waste: 0/25
18: 6 7 | waste: 0/13
19: 8 5 | waste: 0/13
20: 6 7 | waste: 0/13
21: 6 5 9 | waste: 0/20
22: 7 7 11 | waste: 0/25
23: 5 8 | waste: 0/13
24: 6 7 | waste: 0/13
25: 6 7 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 319

result 5
0: 7 7 11 | waste: 0/25
1: 5 8 | waste: 0/13
2: 8 12 | waste: 0/20
3: 8 5 | waste: 0/13
4: 7 6 | waste: 0/13
5: 7 6 | waste: 0/13
6: 8 5 | waste: 0/13
7: 7 10 8 | waste: 0/25
8: 9 6 5 | waste: 0/20
9: 11 5 7 | waste: 2/25
10: 10 10 | waste: 0/20
11: 11 8 6 | waste: 0/25
12: 11 9 | waste: 0/20
13: 7 6 | waste: 0/13
14: 7 7 11 | waste: 0/25
15: 7 6 | waste: 0/13
16: 6 7 | waste: 0/13
17: 10 10 | waste: 0/20
18: 10 5 5 | waste: 0/20
19: 6 7 | waste: 0/13
20: 11 9 | waste: 0/20
21: 11 9 | waste: 0/20
22: 7 6 | waste: 0/13
23: 6 7 | waste: 0/13
24: 8 11 6 | waste: 0/25
25: 7 6 | waste: 0/13
fitness: 0.9881 total_wastage: 2 found at: 104

result 6
0: 10 10 | waste: 0/20
1: 7 6 | waste: 0/13
2: 8 5 7 | waste: 0/20
3: 6 7 | waste: 0/13
4: 11 7 7 | waste: 0/25
5: 9 11 | waste: 0/20
6: 5 5 10 | waste: 0/20
7: 7 7 11 | waste: 0/25
8: 6 10 9 | waste: 0/25
9: 7 6 | waste: 0/13
10: 8 6 6 | waste: 0/20
11: 11 9 | waste: 0/20
12: 6 7 | waste: 0/13
13: 7 6 | waste: 0/13
14: 8 5 | waste: 0/13
15: 11 12 | waste: 2/25
16: 10 10 | waste: 0/20
17: 5 8 | waste: 0/13
18: 7 6 | waste: 0/13
19: 8 5 | waste: 0/13
20: 11 7 7 | waste: 0/25
21: 9 11 | waste: 0/20
22: 7 6 | waste: 0/13
23: 7 6 | waste: 0/13
24: 8 5 | waste: 0/13
25: 6 11 8 | waste: 0/25
fitness: 0.9881 total_wastage: 2 found at: 173

result 7
0: 7 11 7 | waste: 0/25
1: 9 11 5 | waste: 0/25
2: 12 8 | waste: 0/20
3: 9 11 | waste: 0/20
4: 10 10 | waste: 0/20
5: 7 6 | waste: 0/13
6: 7 6 | waste: 0/13
7: 7 8 10 | waste: 0/25
8: 5 5 10 | waste: 0/20
9: 6 7 | waste: 0/13
10: 8 5 | waste: 0/13
11: 7 6 | waste: 0/13
12: 8 6 6 | waste: 0/20
13: 6 7 | waste: 0/13
14: 11 9 | waste: 0/20
15: 11 9 | waste: 0/20
16: 7 7 11 | waste: 0/25
17: 6 7 | waste: 0/13
18: 8 5 11 | waste: 1/25
19: 6 7 | waste: 0/13
20: 5 8 | waste: 0/13
21: 7 7 5 6 | waste: 0/25
22: 8 6 11 | waste: 0/25
23: 6 7 | waste: 0/13
24: 10 10 | waste: 0/20
fitness: 0.990769 total_wastage: 1 found at: 267

result 8
0: 7 6 | waste: 0/13
1: 11 9 5 | waste: 0/25
2: 5 8 | waste: 0/13
3: 8 5 | waste: 0/13
4: 11 6 8 | waste: 0/25
5: 6 8 11 | waste: 0/25
6: 7 5 12 | waste: 1/25
7: 7 7 11 | waste: 0/25
8: 6 7 | waste: 0/13
9: 10 5 10 | waste: 0/25
10: 7 6 | waste: 0/13
11: 11 7 7 | waste: 0/25
12: 5 8 | waste: 0/13
13: 6 8 11 | waste: 0/25
14: 11 9 | waste: 0/20
15: 9 7 9 | waste: 0/25
16: 7 6 | waste: 0/13
17: 7 11 7 | waste: 0/25
18: 6 7 | waste: 0/13
19: 10 10 | waste: 0/20
20: 6 7 | waste: 0/13
21: 6 6 5 8 | waste: 0/25
22: 7 6 | waste: 0/13
23: 10 10 | waste: 0/20
fitness: 0.990333 total_wastage: 1 found at: 114

result 9
0: 11 8 6 | waste: 0/25
1: 7 6 | waste: 0/13
2: 5 9 11 | waste: 0/25
3: 7 6 | waste: 0/13
