
result 1
0: 8 10 7 | waste: 0/25
1: 6 11 8 | waste: 0/25
2: 8 11 6 | waste: 0/25
3: 11 9 5 | waste: 0/25
4: 10 7 8 | waste: 0/25
5: 8 7 10 | waste: 0/25
6: 9 5 | waste: 11/25
7: 7 11 7 | waste: 0/25
8: 6 7 7 5 | waste: 0/25
9: 10 6 9 | waste: 0/25
10: 7 5 7 6 | waste: 0/25
11: 6 12 7 | waste: 0/25
12: 8 11 6 | waste: 0/25
13: 7 11 7 | waste: 0/25
14: 7 6 6 6 | waste: 0/25
15: 9 11 5 | waste: 0/25
16: 10 10 5 | waste: 0/25
17: 6 5 7 7 | waste: 0/25
18: 11 8 6 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 116

result 2
0: 9 10 6 | waste: 0/25
1: 9 5 6 5 | waste: 0/25
2: 8 11 6 | waste: 0/25
3: 7 10 8 | waste: 0/25
4: 11 9 5 | waste: 0/25
5: 8 11 6 | waste: 0/25
6: 7 5 7 6 | waste: 0/25
7: 6 7 12 | waste: 0/25
8: 9 10 6 | waste: 0/25
9: 10 10 5 | waste: 0/25
10: 7 11 7 | waste: 0/25
11: 8 11 6 | waste: 0/25
12: 7 5 6 7 | waste: 0/25
13: 7 7 | waste: 11/25
14: 7 11 7 | waste: 0/25
15: 5 8 6 6 | waste: 0/25
16: 11 8 6 | waste: 0/25
17: 11 7 7 | waste: 0/25
18: 8 10 7 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 203

result 3
0: 11 6 8 | waste: 0/25
1: 6 8 | waste: 11/25
2: 5 6 7 7 | waste: 0/25
3: 7 11 7 | waste: 0/25
4: 10 10 5 | waste: 0/25
5: 5 11 9 | waste: 0/25
6: 11 9 5 | waste: 0/25
7: 7 7 5 6 | waste: 0/25
8: 11 8 6 | waste: 0/25
9: 9 10 6 | waste: 0/25
10: 7 10 8 | waste: 0/25
11: 6 7 12 | waste: 0/25
12: 7 6 7 5 | waste: 0/25
13: 11 7 7 | waste: 0/25
14: 11 6 8 | waste: 0/25
15: 9 10 6 | waste: 0/25
16: 7 10 8 | waste: 0/25
17: 8 11 6 | waste: 0/25
18: 7 7 6 5 | waste: 0/25
fitness: 0.964202 total_wastage: 11 found at: 639

result 4
0: 11 9 5 | waste: 0/25
