
result 1
0: 10 | waste: 0/10
1: 10 3 | waste: 0/13
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 10 | waste: 0/10
5: 10 | waste: 0/10
6: 10 | waste: 0/10
7: 10 | waste: 0/10
8: 7 3 | waste: 0/10
9: 3 3 4 | waste: 0/10
10: 8 7 | waste: 0/15
11: 6 4 | waste: 0/10
12: 7 6 | waste: 0/13
13: 7 6 | waste: 0/13
14: 6 4 | waste: 0/10
15: 5 8 | waste: 0/13
16: 7 6 | waste: 0/13
17: 8 5 | waste: 0/13
18: 9 4 | waste: 0/13
19: 9 4 | waste: 0/13
20: 9 4 | waste: 0/13
21: 8 5 | waste: 0/13
22: 7 6 | waste: 0/13
23: 4 9 | waste: 0/13
24: 4 9 | waste: 0/13
25: 6 7 | waste: 0/13
26: 7 8 | waste: 0/15
27: 5 5 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 25

result 2
0: 10 | waste: 0/10
1: 10 | waste: 0/10
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 10 | waste: 0/10
5: 10 | waste: 0/10
6: 10 | waste: 0/10
7: 10 3 | waste: 0/13
8: 9 6 | waste: 0/15
9: 5 5 | waste: 0/10
10: 3 7 | waste: 0/10
11: 3 7 | waste: 0/10
12: 6 4 | waste: 0/10
13: 9 6 | waste: 0/15
14: 9 4 | waste: 0/13
15: 5 8 | waste: 0/13
16: 8 5 | waste: 0/13
17: 7 3 | waste: 0/10
18: 4 7 4 | waste: 0/15
19: 7 6 | waste: 0/13
20: 8 5 | waste: 0/13
21: 9 4 | waste: 0/13
22: 7 8 | waste: 0/15
23: 6 7 | waste: 0/13
24: 8 7 | waste: 0/15
25: 6 4 | waste: 0/10
26: 6 4 | waste: 0/10
27: 4 9 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 23

result 3
0: 10 | waste: 0/10
1: 10 | waste: 0/10
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 10 | waste: 0/10
5: 10 | waste: 0/10
6: 10 | waste: 0/10
7: 10 | waste: 0/10
8: 9 4 | waste: 0/13
9: 5 5 | waste: 0/10
10: 6 9 | waste: 0/15
11: 7 3 | waste: 0/10
12: 6 7 | waste: 0/13
13: 5 8 | waste: 0/13
14: 9 4 | waste: 0/13
15: 3 6 6 | waste: 0/15
16: 8 5 | waste: 0/13
17: 4 6 | waste: 0/10
18: 8 5 | waste: 0/13
19: 7 3 | waste: 0/10
20: 7 3 | waste: 0/10
21: 8 7 | waste: 0/15
22: 9 4 | waste: 0/13
23: 7 6 | waste: 0/13
24: 6 4 | waste: 0/10
25: 7 4 4 | waste: 0/15
26: 7 8 | waste: 0/15
27: 9 4 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 42

result 4
0: 3 10 | waste: 0/13
1: 10 | waste: 0/10
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 10 | waste: 0/10
5: 10 | waste: 0/10
6: 10 | waste: 0/10
7: 5 5 | waste: 0/10
8: 8 5 | waste: 0/13
9: 7 6 | waste: 0/13
10: 4 9 | waste: 0/13
11: 6 4 | waste: 0/10
12: 8 7 | waste: 0/15
13: 8 7 | waste: 0/15
14: 9 4 | waste: 0/13
15: 8 5 | waste: 0/13
16: 4 9 | waste: 0/13
17: 4 9 | waste: 0/13
18: 7 6 | waste: 0/13
19: 3 7 | waste: 0/10
20: 8 5 | waste: 0/13
21: 9 4 | waste: 0/13
22: 6 4 | waste: 0/10
23: 7 6 | waste: 0/13
24: 6 7 | waste: 0/13
25: 4 6 | waste: 0/10
26: 10 3 | waste: 0/13
27: 7 3 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 34

result 5
0: 10 3 | waste: 0/13
1: 10 | waste: 0/10
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 10 | waste: 0/10
5: 10 | waste: 0/10
6: 10 | waste: 0/10
7: 8 7 | waste: 0/15
8: 3 7 | waste: 0/10
9: 4 9 | waste: 0/13
10: 5 8 | waste: 0/13
11: 3 7 | waste: 0/10
12: 3 7 | waste: 0/10
13: 5 4 4 | waste: 0/13
14: 7 8 | waste: 0/15
15: 5 8 | waste: 0/13
16: 5 5 | waste: 0/10
17: 9 6 | waste: 0/15
18: 7 6 | waste: 0/13
19: 6 4 | waste: 0/10
20: 8 7 | waste: 0/15
21: 9 4 | waste: 0/13
22: 7 6 | waste: 0/13
23: 6 4 | waste: 0/10
24: 9 6 | waste: 0/15
25: 6 4 | waste: 0/10
26: 10 | waste: 0/10
27: 9 4 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 31

result 6
0: 10 3 | waste: 0/13
1: 10 | waste: 0/10
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 10 | waste: 0/10
5: 10 | waste: 0/10
6: 10 3 | waste: 0/13
7: 10 | waste: 0/10
8: 9 4 | waste: 0/13
9: 5 4 4 | waste: 0/13
10: 7 8 | waste: 0/15
11: 9 4 | waste: 0/13
12: 5 5 | waste: 0/10
13: 8 7 | waste: 0/15
14: 7 6 | waste: 0/13
15: 5 8 | waste: 0/13
16: 8 5 | waste: 0/13
17: 8 7 | waste: 0/15
18: 7 6 | waste: 0/13
19: 9 4 | waste: 0/13
20: 9 6 | waste: 0/15
21: 7 6 | waste: 0/13
22: 7 6 | waste: 0/13
23: 9 4 | waste: 0/13
24: 3 3 7 | waste: 0/13
25: 6 4 | waste: 0/10
26: 6 4 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 18

result 7
0: 10 | waste: 0/10
1: 10 | waste: 0/10
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 10 | waste: 0/10
5: 3 10 | waste: 0/13
6: 7 3 | waste: 0/10
7: 9 4 | waste: 0/13
8: 8 7 | waste: 0/15
9: 6 4 | waste: 0/10
10: 4 7 4 | waste: 0/15
11: 8 7 | waste: 0/15
12: 5 8 | waste: 0/13
13: 9 4 | waste: 0/13
14: 5 5 | waste: 0/10
15: 4 6 | waste: 0/10
16: 5 8 | waste: 0/13
17: 10 | waste: 0/10
18: 10 | waste: 0/10
19: 9 6 | waste: 0/15
20: 9 4 | waste: 0/13
21: 6 7 | waste: 0/13
22: 8 5 | waste: 0/13
23: 9 6 | waste: 0/15
24: 6 4 | waste: 0/10
25: 7 3 | waste: 0/10
26: 6 7 | waste: 0/13
27: 3 7 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 33

result 8
0: 10 | waste: 0/10
1: 10 3 | waste: 0/13
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 10 | waste: 0/10
5: 10 5 | waste: 0/15
6: 10 | waste: 0/10
7: 10 | waste: 0/10
8: 5 5 | waste: 0/10
9: 7 6 | waste: 0/13
10: 4 9 | waste: 0/13
11: 8 7 | waste: 0/15
12: 7 3 | waste: 0/10
13: 4 6 | waste: 0/10
14: 9 4 | waste: 0/13
15: 4 6 | waste: 0/10
16: 9 6 | waste: 0/15
17: 6 4 | waste: 0/10
18: 7 8 | waste: 0/15
19: 8 5 | waste: 0/13
20: 7 6 | waste: 0/13
21: 3 7 | waste: 0/10
22: 9 4 | waste: 0/13
23: 3 7 | waste: 0/10
24: 7 8 | waste: 0/15
25: 4 6 | waste: 0/10
26: 5 8 | waste: 0/13
27: 9 4 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 31

result 9
0: 10 | waste: 0/10
1: 10 | waste: 0/10
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 10 | waste: 0/10
5: 10 | waste: 0/10
6: 10 | waste: 0/10
7: 10 | waste: 0/10
8: 9 6 | waste: 0/15
9: 5 5 | waste: 0/10
10: 8 7 | waste: 0/15
11: 3 3 9 | waste: 0/15
12: 5 4 4 | waste: 0/13
13: 5 8 | waste: 0/13
14: 3 7 | waste: 0/10
15: 9 4 | waste: 0/13
16: 7 8 | waste: 0/15
17: 7 6 | waste: 0/13
18: 7 8 | waste: 0/15
19: 5 6 4 | waste: 0/15
20: 6 4 | waste: 0/10
21: 4 6 | waste: 0/10
22: 3 7 | waste: 0/10
23: 4 7 4 | waste: 0/15
24: 9 6 | waste: 0/15
25: 6 9 | waste: 0/15
26: 8 7 | waste: 0/15
fitness: 1 total_wastage: 0 found at: 25

result 10
0: 10 | waste: 0/10
1: 10 | waste: 0/10
2: 10 | waste: 0/10
3: 10 | waste: 0/10
4: 8 7 | waste: 0/15
5: 10 | waste: 0/10
6: 10 | waste: 0/10
7: 10 | waste: 0/10
8: 4 9 | waste: 0/13
9: 5 5 | waste: 0/10
10: 3 7 | waste: 0/10
11: 6 4 | waste: 0/10
12: 8 7 | waste: 0/15
13: 6 4 | waste: 0/10
14: 4 3 8 | waste: 0/15
15: 7 6 | waste: 0/13
16: 10 5 | waste: 0/15
17: 9 4 | waste: 0/13
18: 7 6 | waste: 0/13
19: 3 7 | waste: 0/10
20: 3 7 | waste: 0/10
21: 5 8 | waste: 0/13
22: 9 6 | waste: 0/15
