
result 1
0: 8 6 4 4 3 | waste: 0/25
1: 4 7 4 | waste: 0/15
2: 9 9 7 | waste: 0/25
3: 7 6 9 | waste: 0/22
4: 7 8 | waste: 0/15
5: 8 3 4 | waste: 0/15
6: 4 4 10 7 | waste: 0/25
7: 9 4 | waste: 0/13
8: 5 7 3 | waste: 0/15
9: 7 7 6 | waste: 0/20
10: 10 | waste: 0/10
11: 3 4 5 8 5 | waste: 0/25
12: 7 7 8 | waste: 0/22
13: 4 4 5 7 | waste: 0/20
14: 7 3 3 7 | waste: 0/20
15: 7 6 | waste: 0/13
16: 5 5 10 | waste: 0/20
17: 10 | waste: 0/10
18: 4 10 8 | waste: 0/22
19: 7 6 | waste: 0/13
20: 10 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 107

result 2
0: 5 7 9 4 | waste: 0/25
1: 9 7 9 | waste: 0/25
2: 10 4 8 | waste: 0/22
3: 4 5 4 7 | waste: 0/20
4: 7 5 8 | waste: 0/20
5: 3 7 | waste: 0/10
6: 7 6 7 | waste: 0/20
7: 10 | waste: 0/10
8: 6 4 5 | waste: 0/15
9: 7 10 8 | waste: 0/25
10: 7 6 | waste: 0/13
11: 7 3 | waste: 0/10
12: 7 8 4 3 | waste: 0/22
13: 7 4 4 | waste: 0/15
14: 7 3 10 | waste: 0/20
15: 7 10 8 | waste: 0/25
16: 6 8 7 4 | waste: 0/25
17: 5 4 3 3 | waste: 0/15
18: 9 4 | waste: 0/13
19: 10 5 | waste: 0/15
20: 6 4 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 77

result 3
0: 9 4 7 | waste: 0/20
1: 8 7 | waste: 0/15
2: 8 7 4 3 | waste: 0/22
3: 10 5 | waste: 0/15
4: 7 6 7 | waste: 0/20
5: 6 4 | waste: 0/10
6: 7 3 3 | waste: 0/13
7: 5 3 7 7 3 | waste: 0/25
8: 4 7 8 6 | waste: 0/25
9: 10 | waste: 0/10
10: 4 10 4 4 | waste: 0/22
11: 4 5 4 | waste: 0/13
12: 7 3 | waste: 0/10
13: 8 7 | waste: 0/15
14: 5 5 | waste: 0/10
15: 8 5 | waste: 0/13
16: 9 7 4 | waste: 0/20
17: 9 9 4 | waste: 0/22
18: 6 7 | waste: 0/13
19: 7 7 8 | waste: 0/22
20: 10 | waste: 0/10
21: 10 6 4 | waste: 0/20
22: 10 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 78

result 4
0: 7 6 4 8 | waste: 0/25
1: 10 8 4 | waste: 0/22
2: 4 6 | waste: 0/10
3: 8 5 | waste: 0/13
4: 5 4 4 | waste: 0/13
5: 7 4 7 4 | waste: 0/22
6: 9 4 | waste: 0/13
7: 7 6 7 | waste: 0/20
8: 9 4 7 | waste: 0/20
9: 7 3 7 3 | waste: 0/20
10: 7 3 | waste: 0/10
11: 7 6 | waste: 0/13
12: 8 3 9 | waste: 0/20
13: 10 | waste: 0/10
14: 4 7 9 | waste: 0/20
15: 7 3 | waste: 0/10
16: 7 7 8 | waste: 0/22
17: 10 5 5 | waste: 0/20
18: 10 | waste: 0/10
19: 5 7 10 | waste: 0/22
20: 10 5 | waste: 0/15
21: 6 4 | waste: 0/10
22: 3 8 4 | waste: 0/15
fitness: 1 total_wastage: 0 found at: 58

result 5
0: 3 4 4 9 | waste: 0/20
1: 10 7 5 | waste: 0/22
2: 7 6 | waste: 0/13
3: 7 7 8 3 | waste: 0/25
4: 8 4 3 | waste: 0/15
5: 7 3 | waste: 0/10
6: 7 8 5 | waste: 0/20
7: 10 | waste: 0/10
8: 3 4 7 6 | waste: 0/20
9: 5 8 7 | waste: 0/20
10: 7 7 4 4 | waste: 0/22
11: 10 | waste: 0/10
12: 7 5 7 6 | waste: 0/25
13: 9 4 | waste: 0/13
14: 6 4 | waste: 0/10
15: 5 3 8 4 | waste: 0/20
16: 5 10 | waste: 0/15
17: 10 4 6 | waste: 0/20
18: 4 7 9 | waste: 0/20
19: 7 8 | waste: 0/15
20: 9 7 4 | waste: 0/20
